comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,3040,6,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",N,N,134,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in Feb and Mar,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Winter/Spring,Winter/Spring,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Not provided,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0.02,NA,0.02,NA,6,0.1,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
,3048,1,"Shaw, J.H.; Carter, T.S.",1990,"Bison movements in relation to fire and seasonality
",row created by CADIMA,row created by CADIMA,135,NA,Shaw1990,Wildlife Society Bulletin,1990,United States of America,"34*60'N, 101*W",Provided by authors,BA,Compared percentage of bison relocations within the burn area before and after a fire,Bison bison,Other space use - Proportion,Mean monthly percentage of observations within burn area,Mean monthly percentage of observations within burn area,Cows and calves,Summer,Summer,NA,NA,Visual,Not provided,Not provided,Not provided,Not provided,Planned,Winter,Not provided,1860 ha,6 months,"No history of European prescribed burns. Accidental fires from human causes before, but not in years of data collection","Mean and SE calculated by reviwer from values in Table 1, pg. 428",3,0.0913,2.86,NA,NA,3,0.4549,9.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsure RE inclusion in meta analysis due to sample size. SEM calculated by reviers from data in table 1, pg. 428. Sample size is the number of months used to calculate the mean monthly percentage"
,3377,1,"Brisson, J.A.; Strasburg, J.L.; Templeton, A.R.",2003,"Impact of fire management on the ecology of collared lizard (Crotaphytus collaris) populations living on the Ozark Plateau
",row created by CADIMA,row created by CADIMA,137,10.1017/S1367943003003305,Brisson2003,Animal Conservation,2003,United States of America,"37.56673836227373, -90.7376064250026","Estimated by reviewers, coordinates taken from existing google pin of Taum Sauk mountain State Park",CI,Compared average dispersal distances of collared lizards in burned and unburned glades,Crotaphytus collaris,Linear distance,mean dispersal distance,"mean dispersal distance, including within glade and between glade dispersal movements","Males and females, hatchlings to adults",NA,NA,"Spring, Summer and Autumn","Spring, Summer and Autumn",Visual,Not provided,Not provided,Not provided,Not provided,Planned,not provided,not provided,not provided,1 year,"Likely fire suppressed for ~50 years, no known fire within 25 years of study","Table 2, pg. 251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,210 m,NA,147,NA,23,380 M,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample sizes the total number of dispersals.
,3414,1,"Cunningham, S.C.; Ballard, W.B.",2004,"Effects of wildfire on black bear demographics in central Arizona
",row created by CADIMA,row created by CADIMA,138,10.2193/0091-7648(2004)032[0928:EOWOBB]2.0.CO;2,Cunningham2004,Wildlife Society Bulletin,2004,United States of America,"33.780190863657104, -111.3785168922106","Estimated by reviewers, coordinates are the approximate mid point between the two study areas.",CI,Compared annual home range size of black bears at a control and impact site,Ursus americanus,Home range,annual home range size,"Annual home range size, minimum convex polygon",Adult males,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,18,Wildfire,Spring,"high vegetation mortality, catastrophic. limited vegetation >40 cm, no leaves on trees and shrubs, charred branches and trunks",237 km2,1 year 8 months,Not provided,"Figure 2, pg. 933 and Fig 3, pg. 934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51.64 km2,NA,6.12,NA,8,65.9 km2,NA,13.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data extracted from 1997 home range of Mt Ord (control) and Four Peaks (impact) using web plot digitiser
,4084,1,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",row created by CADIMA,row created by CADIMA,141,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1658.25 m2,298.96,NA,NA,6,9152.24 m2,2571.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,2,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,142,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Winter,Winter,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,125.85 m2,30.72,NA,NA,6,1478.25 m2,413.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,3,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,143,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Spring,Spring,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2014.09 m2,418.73,NA,NA,6,7259.25 m2,2206.28 m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,4,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,144,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Summer,Summer,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,921.24 m2,217.21,NA,NA,5,3825.25 m2,1188.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,5,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,145,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear Distance - Speed,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 2, pg. 3836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12.20 m/hr,2.45,NA,NA,6,48.28 m/hr,2571.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,6,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,146,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear Distance - Speed,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Winter,Winter,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.09 m/hr,0.24,NA,NA,6,5.40 m/hr,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,7,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,147,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear Distance - Speed,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Spring,Spring,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15.29 m/hr,1.6,NA,NA,6,25.23 m/hr,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4084,8,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,148,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37*13'N, 128*18'E",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear Distance - Speed,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Summer,Summer,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.55 m/hr,0.36,NA,NA,5,19.44 m/hr,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,4226,1,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",row created by CADIMA,row created by CADIMA,150,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,"31°17?S, 29*79'E","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Equus burchelli,Other space use - Time,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.21 hrs,NA,NA,0.94,7,10.45 hrs,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,4226,2,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,151,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,"31°17?S, 29*79'E","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Equus burchelli,Linear Distance - Speed,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1114.98 m/hr,NA,NA,73.17,7,1041.81 m/hr,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,4226,3,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,152,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,"31°17?S, 29*79'E","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Alcelaphus buselaphus camaa,Other space use - Time,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.64 hrs,NA,NA,0.97,7,11.22 HRS,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,4226,4,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,153,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,"31°17?S, 29*79'E","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Alcelaphus buselaphus camaa,Linear Distance - Speed,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,474.56 m/hr,NA,NA,71.08,7,453.66 HRS,NA,NA,50.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,4426,1,"Berry, L.E.; Lindenmayer, D.B.; Dennis, T.E.; Driscoll, D.A.; Banks, S.C.",2016,"Fire severity alters spatio-temporal movements and habitat utilisation by an arboreal marsupial, the mountain brushtail possum (Trichosurus cunninghami)
",row created by CADIMA,row created by CADIMA,154,10.1071/WF15204,Berry2016,International Journal of Wildland Fire,2016,Australia,"-37.59315997249596, 145.8585694146864","Estimated by reviewers, coordinates taken as the approximate mid point of the study area",CI,Compared home range size of possums in burned and unburned sites,Trichosurus cunninghami,Home range,Home range size,"Home range size, measured as 99% isopleth of VHF fixes",Adult males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,2 weeks,2 weeks,Not provided,Not provided,Wildfire,Not provided,"Burned at varing severity, used animals in high severity landscape class for in this comparison. High severity  class had ~7% crown burned, ~50% crown sorched, 9% understorey burn with limited crown scorch and 8% unburned.",74000 ha,5 years,Not provided,"Sample sizes from Appendix 1, Means and CI from Fig. 2, pg. 1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29.58 ha,NA,NA,15.19,6,11.07 ha,NA,NA,15.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used high severity class for impact group and low severity as the control group (authors present low severity as unburnt in home range analysis)
,5769,1,"Michaud, Justin M.","2017
","Habitat use by wintering passerines in fire-managed forests along the U.S. Gulf Coast
",row created by CADIMA,row created by CADIMA,164,NA,Michaud2017,Masters Thesis,2017,United States of America,"N.30°21’, W.87°08’",Provided by authors,CI,Compared home range size of birds in burned and unburned,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,Not provided,Not provided,Not provided,12,Planned,"Multiple planned burns over past 15 years, with some management units burnt mutiple times.",,663 ha,15 years,,"Demographics section of Results, pg. 40 paragraph 1",NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,7,3.22 ha,0.32,NA,NA,11,5.43 ha,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web plot ditigiser used to extract mean and SEMs.
,5769,2,"Michaud, Justin M.","2017
","Habitat use by wintering passerines in fire-managed forests along the U.S. Gulf Coast
",N,,165,NA,Michaud2017,Masters Thesis,2017,United States of America,"N.30°21’, W.87°08’",Provided by authors,CI,Compared home range size of birds in burned and unburned,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year females,NA,NA,Winter/Spring,Winter/Spring,Visual,Not provided,Not provided,Not provided,12,Planned,,,663 ha,15 years,,"Demographics section of Results, pg. 40 paragraph 1",NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,4,3.75 ha,0.89,NA,NA,9,3.15 ha,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web plot ditigiser used to extract mean and SEMs.
,5769,3,"Michaud, Justin M.","2017
","Habitat use by wintering passerines in fire-managed forests along the U.S. Gulf Coast
",N,,166,NA,Michaud2017,Masters Thesis,2017,United States of America,"N.30°21’, W.87°08’",Provided by authors,CI,Compared foraging time of birds in burned and unburned habitats,Regulus calendula,Other space use - Proportion,Mean proportion of time spent foraging,Mean proportion of time spent foraging,After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,Not provided,Not provided,Not provided,12,Planned,,,663 ha,15 years,,"Demographics section of Results, pg. 40 paragraph 1",NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,5,94.19,NA,1.5,NA,11,94.9,NA,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,5833,1,"Griffiths, Anthony D.","1994
","The Effect of Seasonal Environment and Fire on the Ecology of Frillneck Lizards, Chlamydosaurus Kingii, in the Wet-Dry Tropics of Northern Australia
",row created by CADIMA,row created by CADIMA,172,NA,Griffiths1994,Masters Thesis,1994,Australia,"12*43'S, 132*26'E",Provided by authors,CI,Compared dry season home range size of lizards at burned and unburned sites,Chlamydosaurus kingii,Home range,"Home range size, Minimum convex polygon","Home range size, Minimum convex polygon",Males,NA,NA,Autumn/Winter/Spring,Autumn/Winter/Spring,VHF,Not provided,Not provided,Not provided,8,Planned,Autum/Winter,"Low intensity, limited upper canopy scorch. Left patches of unburned ground vegetation, pg. 48",Not provided,4 months,Unburned for at least 4 years,"Home range section of results, pg. 107, Table 4.4, pg. 109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.66 ha,0.25,NA,NA,7,2.91 ha,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Early season burn group selected as impact treatment due to smaller sample size of late season burn group (n=4).
,5833,2,"Griffiths, Anthony D.","1994
","The Effect of Seasonal Environment and Fire on the Ecology of Frillneck Lizards, Chlamydosaurus Kingii, in the Wet-Dry Tropics of Northern Australia
",N,N,173,NA,Griffiths1994,Masters Thesis,1994,Australia,"12*43'S, 132*26'E",Provided by authors,CI,Compared mean distance between relocations of lizards and home range centre in burned and unburned habitats,Chlamydosaurus kingii,Linear Distance,Mean distance of each location from the geometric centre of the home range,Mean distance of each location from the geometric centre of the home range,Males,NA,NA,Autumn/Winter/Spring,Autumn/Winter/Spring,VHF,Not provided,Not provided,Not provided,8,Planned,Autum/Winter,"Low intensity, limited upper canopy scorch. Left patches of unburned ground vegetation, pg. 49",Not provided,4 months,Unburned for at least 4 years,"Home range section of results, pg. 110, Table 4.4, pg. 109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,39.74 m,8.01,NA,NA,7,92.49 m,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Early season burn group selected as impact treatment due to smaller sample size of late season burn group (n=4).
,5911,1,"Chavarria, Pedro Mazier","2013
","Ecology of Montezuma quail in southeast Arizona
",row created by CADIMA,row created by CADIMA,174,NA,Chavarria2013,PhD Thesis,2013,United States of America,"31.590402215931476, -110.5061757896158","Estimated by reviewers, coordinates taken from google pin of Appleton-Whittell Research Ranch",BA,Compared movement between burned and unburned years.,Cyrtonix montezumae,Linear Distance,Mean Maximum distance moved,Mean Maximum distance moved,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456 days,Not provided,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",24,1128.4 m,619.5,NA,NA,19,445,179.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after."
,5911,2,"Chavarria, Pedro Mazier","2013
","Ecology of Montezuma quail in southeast Arizona
",N,N,175,NA,Chavarria2014,PhD Thesis,2013,United States of America,"31.590402215931476, -110.5061757896158","Estimated by reviewers, coordinates taken from google pin of Appleton-Whittell Research Ranch",BA,Compared movement between burned and unburned years.,Cyrtonix montezumae,Linear Distance,Mean distance between observations,Mean distance between observations,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456 days,Not provided,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",24,239.2 m,246.8,NA,NA,19,156,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after."
,5911,3,"Chavarria, Pedro Mazier","2013
","Ecology of Montezuma quail in southeast Arizona
",N,N,176,NA,Chavarria2015,PhD Thesis,2013,United States of America,"31.590402215931476, -110.5061757896158","Estimated by reviewers, coordinates taken from google pin of Appleton-Whittell Research Ranch",BA,Compared movement between burned and unburned years.,Cyrtonix montezumae,Linear Distance,Mean distance between first and last observation,Mean distance between first and last observation,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456 days,Not provided,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",24,676.8 m,533.7,NA,NA,19,227.4,131.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after."
,5911,4,"Chavarria, Pedro Mazier","2013
","Ecology of Montezuma quail in southeast Arizona
",N,N,177,NA,Chavarria2016,PhD Thesis,2013,United States of America,"31.590402215931476, -110.5061757896158","Estimated by reviewers, coordinates taken from google pin of Appleton-Whittell Research Ranch",BA,Compared movement between burned and unburned years.,Cyrtonix montezumae,Home range,"Utilisation distribution, fixed kernel density 95%","Utilisation distribution, fixed kernel density 95%",Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456 days,Not provided,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.2, pg. 43",24,107 ha,96.5,NA,NA,19,21.9,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after."
