Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Study_Design,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period (days),Mean_tracking_period (days),Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Comments
14,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",CI,Odocoileus hemionus columbianus,Linear Distance,Home Range Centroid Displacement,"Mean centroid displacement post fire, using home range centroids.",Adult females,Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 3, pg. 15688",140.32,208.29,72.35,119.22,227.59,10.85,SD,Displacement of two male deer excluded from extraction as they were only within the burned area (ie no control males). Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
15,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BA,Odocoileus hemionus columbianus,Linear Distance,Daily distance moved,Mean dailly distance moved,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,2.15,2.52,1.78,1.47,1.73,1.21,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
16,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BA,Odocoileus hemionus columbianus,Tortuosity,Straightness Index,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Straightness Index from 0 to 1, with 1 perfectly straight","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,0.021,0.041,0.001,0.011,0.021,0.001,SD,"May or may not be of value, depends if other authors are using the same straightness index (authors cite Benhamou, 2004). Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days."
17,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BA,Odocoileus hemionus columbianus,Tortuosity,Turn Angle Correlation,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Turn Angle Correlation, where high correlation indicates directed movement and low correlation indicates undirected movement","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,0.5202,0.5502,0.4902,0.515,0.535,0.495,SD,"May or may not be of value, depends if other authors are using turn angle correlation as measure of tortuosity. Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days."
18,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BA,Odocoileus hemionus columbianus,Other space use - Time,"Mean residence time ""number of hours spent inside
a given radius"" pg. 15686",Mean residence time,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,16.8,27.4,6.2,10,14.2,5.8,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
19,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BA,Odocoileus hemionus columbianus,Other space use - Time,"Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15686","Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15687","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,Table 1 pg. 15689,55.5,68.2,42.8,64.1,80.2,48,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
21,:10.1111/jzo.12732,Roe2020,Journal of Zoology,2020,United States of America,"34.77389, - 79.17889",CI,Terrapene carolina,Home range,Home range size,Home range size 95% kernel density,Females,NA,NA,All seasons,All seasons,VHF,365,NA,26,Not provided,Planned,Not provided,"Prescribed fire used since 1974 as management tool. Typically low intensity, mean size 5.2 ha (+- SE 3.2 ha), and mean burn frequency 5.9 years between 2000 to 2016",Not provided,Not provided,Table 1. pg. 75,32.8,41.1,24.5,18.4,21.5,15.3,SE,"Control and impact sites are aproximately 90km apart (euclidean). Impact site (Weymouth Woods) described as xeric uplands  ""forest mosaic of mixed pine and hardwood forests"" (pg. 72). Lumber River (control) ""riverine bottomland swamp forest"" with upland mixed pine and hardwood forests (pg. 72). Mean fixes calculated by reviewers using mean locations per year values provided in Home Range section of results (para 1, pg. 74)."
22,:10.1111/jzo.12732,Roe2020,Journal of Zoology,2020,United States of America,"34.77389, - 79.17889",CI,Terrapene carolina,Home range,Home range size,Home range size 95% kernel density,Males,NA,NA,All seasons,All seasons,VHF,365,NA,26,Not provided,Planned,Not provided,"Prescribed fire used since 1974 as management tool. Typically low intensity, mean size 5.2 ha (+- SE 3.2 ha), and mean burn frequency 5.9 years between 2000 to 2017",Not provided,Not provided,Table 1. pg. 76,17.2,22.2,12.2,9.9,11.7,8.1,SE,"Control and impact sites are aproximately 90km apart (euclidean). Impact site (Weymouth Woods) described as xeric uplands  ""forest mosaic of mixed pine and hardwood forests"" (pg. 72). Lumber River (control) ""riverine bottomland swamp forest"" with upland mixed pine and hardwood forests (pg. 72)."
23,0.1002/wsb.536,Everitts2015,Wildlife Society Bulletin,2015,United States of America,"34.65732763229188, - 90.66808117677087",CI,Limnothlypis swainsonii,Home range,Home range size,Home range size 95% fixed kernel,Males,NA,NA,Spring/Summer,Spring/Summer,VHF,5,NA,47.3,26,Planned,Winter,"Low intensity, ignited with drip torches",2051,517,Abstract,8.5,9.6,7.4,14.4,17.9,10.9,SE,"Two prescribed burns occurred during the study period, the first in winter 2007 and the second in winter 2009. Impact fire size calculated by reviewers as sum of both fire sizes. Mean fixes calculated by reviewer by averaging the mean number of fixes for 2008 and 2009."
24,10.1071/WR00054,Vernes2001,Wildlife Research,2001,Australia," - 17.01667, 145.58333",BA,Bettongia tropica,Home range,Nest area size,"Nest area, 100% Minimum Convex Polygon",Males and females,Spring/Summer/Autumn,Spring/Summer/Autumn,NA,NA,VHF,274,377,6.5,4,Planned,Summer,"Low/moderate intensity, experimental",2000,152,"Table 2, pg. 144",2.05,2.57,1.53,7.46,9.71,5.21,SE,"Mean nest areas calculated by reviewers from data in Table 2 pg. 144 using period 1 and period 3, excluding animals with insufficent number of fixes. In the before means, animals whose nest areas were not affected by fire were included. They were excluded in the after calculations. 0.0 values were excluded for both before and after mean calculations. Tracking data calculated by reviwers from fixes and months provided in Table 2, pg. 144. Nest areas included in mean area calculations were determined by Incremental Area Analysis by authors, and only those that approached asymptote considered as sufficent data by authors."
25,10.1093/forestscience/56.1.131,Hurteau2010,Forest Science,2010,United States of America,"35.22306, - 111.74972",CI,Sialia mexicana,Home range,Home range size,Home range size 90% fixed kernel,Males,NA,NA,Summer,Summer,VHF,NA,NA,Not provided,30,Planned,Autumn,Not provided,Not provided,1460,"Figure 4, pg. 136",2.26,2.63,1.89,3.27,3.6,2.94,SE,"Sample size assumed as 7 from total sample size of 28 across the four treatment groups. In all other plots, where the sample size is not equal, sample sizes are provided. Means and SE extracted from Figure 4 using Webplot digitiser. SEM calculated by subtracting the mean value extraxted from the plot from the SE +1 value extracted from the plot."
26,10.1002/jwmg.22182,Crabb2022,Journal of Wildlife Management,2022,United States of America,"33.87467372580587, - 109.33121112231844",BA,Ursus americanus,Home range,Home range size,Home range size autocorrelated kernel density,Males,All seasons,All seasons,NA,NA,GPS,730,NA,465.5,31,Wildfire,Summer,"""Immense size and burn severity"" and  >370 km2 (18% of burn perimeter) high severity burn. 45% low severity, 18% medium severity, and 20% as unburned or low severity  pg. 2 & 5",217000,730,"Final paragraph of results, pg. 12",202700,295400,119900,151000,289800,11200,CI,Mean number of fixes calculated by reviewers by averaging the mean values of fixes for male bears before and after the fire (results section pg. 10)
27,10.2193/2006-337,Yager2007,Journal of Wildlife Management,2007,United States of America,"31.200794934473635, - 89.21408523160571",CI,Gopherus polyphemus,Home range,Home range size,Home range size 95% kernel estimate,Males and females,NA,NA,All seasons,All seasons,VHF,300,696,Not provided,Not provided,Planned,Winter & Spring,"Burns at impact sites occurred in Jan and Feb 2002, and April 2003",Not provided,730,"Table 2, pg. 431",1.16,2.8,-0.48,1.02,1.73,0.31,SD,"All sites centred on cleared training firing points, with a 200 m buffer of forest."
28,10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,"64.37583333, - 147.70444444",BA,Alces alces,Other space use - Proportion,Percentage of relocations,Percentage of relocations outside the burn perimeter,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,NA,NA,Not provided,2,Wildfire,Spring/Summer,"Within the burn area used by moose 75% burned at moderate to high severity, 10% low severity and 15% unburned pg. 136",Not provided,122,"Table 1, pg. 136",0.53,0.69,0.37,0.258,0.383,0.133,SE,"Means and SEM calculated  by reviwer from values in Table 1. May or may not be of use, depending on other space use metrics recorded."
29,10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,"64.37583333, - 147.70444444",BA,Alces alces,Other space use - Proportion,Percentage of home range area outside burn perimeter,Mean percentage of home range outside the burn perimeter before and after fire,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,NA,NA,Not provided,3,Wildfire,Spring/Summer,"Within the burn area used by moose 75% burned at moderate to high severity, 10% low severity and 15% unburned pg. 137",Not provided,152,"Para 1 of results, pg. 137",0.42,0.497,0.343,0.57,0.656,0.484,SE,"May or may not be of use, depending on other space use metrics recorded."
30,10.1016/j.rama.2016.08.006,Carroll2017,Rangeland Ecology and Management,2017,United States of America,"35.8981817848328, - 99.72122404557075",CI,Colinus virginianus,Home range,Home range size,Mean home range 95% Kernel density,Males and females,Autumn/Winter,Autum/Winter,NA,NA,VHF,NA,NA,42.2,20,Planned,Winter/Spring,Planned burns occurred at same time in 2013 and 2014. Mean size 254.3 ha (+/- 33.7 ha) of pastures burnt during 2013 and 2014,3193,365,"Means and SEM from Convey Home Range Section of Results, para 1 pg. 178. Sample sizes from caption of Figure 2.",78.91,85.46,72.37,85,100.53,69.47,SE,"Fire impact size calculated as sum of 2013 and 2014 burns (pg. 176). Grazing occurred across study area from April to August, applied to control and impact treatments. 3 time since fire groups (0-12, 13-24 and >36 months) no difference in covey HR, however 25-36 months HR size was significantly smaller than >36 months group pg. 178."
31,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",BA,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Planned,Spring,mosaic burn pattern,1260,821,"Table 3, pg. 90",0.14,0.16,0.12,0.03,0.04,0.02,SE,May be seasonally confounded
32,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",BA,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Planned,Spring,mosaic burn pattern,1260,821,"Table 3, pg. 91",0.14,0.16,0.12,0.06,0.07,0.05,SE,May be seasonally confounded
33,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",BA,Ovis canadensis,Other space use - Proportion,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Summer,"consumed most of the shrub and grass layer, no mosaic patterning",1260,821,"Table 3, pg. 92",0.23,0.32,0.14,0.24,0.32,0.16,SE,May be seasonally confounded
34,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",CI,Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,NA,NA,Not provided,Not provided,Both,Summer,"Planned: Low intensity, back burns to fight wildfire. Wildfire: mosaic of unburned, lightly and severly burned",16.4,122,"Table 1, pg. 221",2.01,2.4,1.62,1.48,1.8,1.16,SE,
35,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",CI,Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Spring/Summer,Spring/Summer,VHF,NA,NA,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4,365,"Table 1, pg. 221",3.21,3.76,2.66,0.62,0.87,0.37,SE,
36,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",BACI,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,Spring/Summer,Summer,Summer,Summer,VHF,NA,NA,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4,30,"Figure 2, pg. 222",0.78116,3.171636,-1.609316,1.204114,2.364953,0.043275,SE,
37,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",CI,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,NA,NA,Autumn,Autumn,VHF,NA,NA,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4,122,"Figure 2, pg. 222",8,10.6,5.4,56.2,68.7,43.7,SE,
38,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",CI,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,NA,NA,Summer,Summer,VHF,NA,NA,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4,356,"Figure 2, pg. 222",54.5,84.7,24.3,55.8,66.9,44.7,SE,
39,10.1644/08-MAMM-A-349.1,Lacki2009,Journal of Mammalogy,2009,United States of America,"37.85000000, - 83.65000000",BA,Myotis septentrionalis,Home range,Home range size,Home range size 95% (estimated using Hawth's Tools v3.27 in ArcGIS),Females,Summer,Spring/Summer,NA,NA,VHF,NA,6.3 days,Not provided,Not provided,Planned,Spring,"Two burn units. Both drip torch ignition, mosaic of burned (ridges and upper slopes) and unburned (lower slopes, drainage lines) area within fire. Flame height 0.2 -2.5 m, generally <1m Pg. 1166.",620,122,"Foraging behaviour section of results, paragraph 1 pg. 1169",60.2,74.3,46.1,72.3,78.5,66.1,SE,"Some temporal confounding, with before tracking occuring largely in June/July 2006, after tracking occurred April-September 2007"
40,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",BACI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,Spring,Spring,Spring,Spring,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",1.462,2.83,0.094,1.244,2.608,-0.12,SE,
41,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",263,314,212,363,430,296,SE,
42,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",307,357,257,412,454,370,SE,
43,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",BACI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",1.66,3.66,-0.34,1.046,2.296,-0.204,SE,
44,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",73,80,66,123,141,105,SE,
45,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",78,84,72,114,131,97,SE,
46,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",BACI,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Males,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",1.285,2.285,0.285,1.12,2.205,0.035,SE,Data extracted from figure 4 using Webplot digitizer.
47,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Linear Distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",94.48,100.96,88,65.38,72.55,58.21,SE,Data extracted from figure 4 using Webplot digitizer.
