your comment,comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,,4024,1,"Johnson, J.B.; Mark Ford, W.; Edwards, J.W.",2012,"Roost networks of northern myotis (Myotis septentrionalis) in a managed landscape
",row created by CADIMA,row created by CADIMA,139,10.1016/j.foreco.2011.11.032,Johnson2012,Forest Ecology and Management,2012,United States of America,"39.055352623327785, -79.6704669418835","Estimated by reviewers, coordinates taken from existing google pin of Fernow Experimental Forest",CI,Compared roost area size of maternal bat colonies in burned and unburned treatments,Myotis septentrionalis,Home range,Mean roosting area,% minimum convex polygon,females,NA,NA,Spring & Summer,Spring & Summer,VHF,Not provide,5.5 days,Not provided,Not provided,Planned,Spring,Not provided,146 ha,1 year 4 months,Not provided,"Table 1, pg. 226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,14.29 ha,3.75,NA,NA,3,8.1 ha,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Does not meet meta analysis criteria due to too few impact replicates. Fire treatments confounded with herbicide or girdling in 48 x 20 m radius plots in the 3 fire treatment compartments. Classification of burned or unburned roosts based on Fig 3, pg. 227, visually classifying roost areas with at least 50% overlap with burn perimeter. Data calculated using values in Table 7, pg. 226, combining both 2008 and 2009 values."
,,4083,1,"Pople, R.G.; Esquivel, A.",2012,"Response of White-winged Nightjars Eleothreptus candicans to a prescribed burn of cerrado grassland at Bosque Mbaracayú biosphere reserve, Paraguay
",row created by CADIMA,row created by CADIMA,140,,Pople2012,Conservation Evidence,2012,Paraguay," -24.16666667, -55.28333333",Provided by authors,BA,Compared the percentages of relocations of nightjars within the burn perimeter before and after fire,Eleothreptus candicans,Other space use,Mean percentage of relocations within burn perimeter,Mean percentage of relocations within burn perimeter,Males and female,All seasons,Winter/Spring,NA,NA,VHF,Not provided,Not provided,Not provided,13,Planned,Winter,Not provided,9 ha,3 months,Not provided,"Table 1, pg. 38",3,0.36,0.14,NA,NA,3,0.26,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Does not meet meta analysis criteria due to too few replicates. Sample periods also unbalanced, ~8 weeks post fire and ~10 months before."
,,4084,1,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",row created by CADIMA,row created by CADIMA,141,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1658.25 m2,298.96,NA,NA,6,9152.24 m2,2571.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,2,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,142,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Winter,Winter,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,125.85 m2,30.72,NA,NA,6,1478.25 m2,413.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,3,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,143,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Spring,Spring,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2014.09 m2,418.73,NA,NA,6,7259.25 m2,2206.28 m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,4,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,144,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Summer,Summer,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,921.24 m2,217.21,NA,NA,5,3825.25 m2,1188.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,5,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,145,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 2, pg. 3836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12.20 m/hr,2.45,NA,NA,6,48.28 m/hr,2571.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,6,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,146,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Winter,Winter,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.09 m/hr,0.24,NA,NA,6,5.40 m/hr,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,7,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,147,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Spring,Spring,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15.29 m/hr,1.6,NA,NA,6,25.23 m/hr,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4084,8,"Lee, E.J.; Rhim, S.-J.; Lee, W.-S.",2012,"Seasonal movements and home range sizes of korean field mouse Apodemus peninsulae in unburned and post-fire pine planted stands within a pine forest
",N,,148,,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",Provided by authors,CI,Compared home range size of mice at burned and unburned sites,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Summer,Summer,VHF,Not provided,Not provided,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,9 years 4 months,50 years unburned,"Table 4, pg. 3837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.55 m/hr,0.36,NA,NA,5,19.44 m/hr,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
,,4223,1,"Jones, C.D.; Cox, J.A.; Cooper, R.J.",2014,"Bachman's sparrow (peucaea aestivalis) response to variation in the extent of burns conducted during the nesting season 
",row created by CADIMA,row created by CADIMA,149,10.5751/ACE-00632-090103,Jones2014,Avian Conservation and Ecology,2014,United States of America,"30.75138889, -84.03333333","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,,Peucaea aestivalis,Linear Distance,,,,NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,Visual,,,,,Planned,Spring,,,,"Frequent planned burns, 2 years or less return internval",,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO CONTACT AUTHORS - No means  or SEM given. Would need to use unburned areas in the 2006 small extent plots as the control.
,,4226,1,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",row created by CADIMA,row created by CADIMA,150,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Equus burchelli,Other space use,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.21 hrs,NA,NA,0.94,7,10.45 hrs,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,,4226,2,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,151,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Equus burchelli,Linear distance,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1114.98 m/hr,NA,NA,73.17,7,1041.81 m/hr,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,,4226,3,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,152,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Alcelaphus buselaphus camaa,Other space use,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.64 hrs,NA,NA,0.97,7,11.22 HRS,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,,4226,4,"Venter, J.A.; Nabe-Nielsen, J.; Prins, H.H.T.; Slotow, R.",2014,"Forage patch use by grazing herbivores in a South African grazing ecosystem
",N,,153,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0","Estimated by reviewers, as the mid point between the two lat and long values provided by author",CI,Compared time spent in burned and unburned grassland,Alcelaphus buselaphus camaa,Linear distance,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,4 months,Not provided,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,4 years 7 months,Unburned since start of study,"Figure 2, pg. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,474.56 m/hr,NA,NA,71.08,7,453.66 HRS,NA,NA,50.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fires ignited by poachers
,,4426,1,"Berry, L.E.; Lindenmayer, D.B.; Dennis, T.E.; Driscoll, D.A.; Banks, S.C.",2016,"Fire severity alters spatio-temporal movements and habitat utilisation by an arboreal marsupial, the mountain brushtail possum (Trichosurus cunninghami)
",row created by CADIMA,row created by CADIMA,154,10.1071/WF15204,Berry2016,International Journal of Wildland Fire,2016,Australia,"-37.59315997249596, 145.8585694146864","Estimated by reviewers, coordinates taken as the approximate mid point of the study area",CI,Compared home range size of possums in burned and unburned sites,Trichosurus cunninghami,Home range,Home range size,"Home range size, measured as 99% isopleth of VHF fixes",Adult males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,2 weeks,2 weeks,Not provided,Not provided,Wildfire,Not provided,"Burned at varing severity, used animals in high severity landscape class for in this comparison. High severity  class had ~7% crown burned, ~50% crown sorched, 9% understorey burn with limited crown scorch and 8% unburned.",74000 ha,5 years,Not provided,"Sample sizes from Appendix 1, Means and CI from Fig. 2, pg. 1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29.58 ha,NA,NA,15.19,6,11.07 ha,NA,NA,15.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used high severity class for impact group and low severity as the control group (authors present low severity as unburnt in home range analysis)
,,4967,1,"Silva, J.A.; Nielsen, S.E.; McLoughlin, P.D.; Rodgers, A.R.; Hague, C.; Boutin, S.",2020,"Comparison of pre-fire and post-fire space use reveals varied responses by woodland caribou (Rangifer tarandus caribou) in the boreal shield
",row created by CADIMA,row created by CADIMA,155,10.1139/cjz-2020-0139,Silva2020,Canadian Journal of Zoology,2020,Canada,"58.00000000, -107.00000000","Estimated by reviewers, using coordinates in Fig 1, pg. 753",BA,Compares seasonal home range overlap of caribou before and after fires,Rangifer tarandus caribou,Other space use,,,Adult females,,,,,,,,,,Unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEED TO CONTACT AUTHORS - Pre and post fire overlap of seasonal ranges compared using an index, need mean values and SEM"
,,5741,1,"Nowack, J; Cooper, CE; Geiser, F",2016,"Cool echidnas survive the fire
",row created by CADIMA,row created by CADIMA,156,10.1098/rspb.2016.0382,Nowack2016,Proceedings of the Royal Society B,2016,Australia," -31.76666667, 117.16666667",Provided by authors,CI,Compared mean activity of echidnas the night after a fire of echidnas in a burned and unburned area,Tachyglossus aculeatus,Other space use,Mean daily activity,"Daily activity, measured as minutes active",Adults,NA,NA,Autumn,Autumn,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Based on photo at Fig 1, pg. 2 burn consumed most of the understorey and shrub layer. Crown unaffected.",227 ha,2 days,Not provided,"Direct impacts of the fire section of results, pg. 3, paraghraph 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,474 mins,NA,38,NA,4,179 mins,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis crietria due to too few impact replicates
,,5741,2,"Nowack, J; Cooper, CE; Geiser, F",2016,"Cool echidnas survive the fire
",N,,157,10.1098/rspb.2016.0382,Nowack2016,Proceedings of the Royal Society B,2016,Australia," -31.76666667, 117.16666667",Provided by authors,BACI,Compared duration of multiday torpor in echidnas using BACI design,Tachyglossus aculeatus,Other space use,Mean duration of multiday torpor (hrs),Mean duration of multiday torpor,Adults,Autumn,Autumn,Autumn,Autumn,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Based on photo at Fig 1, pg. 2 burn consumed most of the understorey and shrub layer. Crown unaffected.",227 ha,31 days,Not provided,"Table 2, pg. 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,37.8 hrs,NA,57.2,NA,5,82.5 hrs,NA,59.2,NA,4,10.9 hrs,NA,21.7,NA,5,238.4 hrs,NA,136.9,NA,Does not meet meta analysis crietria due to too few impact replicates
,,5741,3,"Nowack, J; Cooper, CE; Geiser, F",2016,"Cool echidnas survive the fire
",N,,158,10.1098/rspb.2016.0382,Nowack2016,Proceedings of the Royal Society B,2016,Australia," -31.76666667, 117.16666667",Provided by authors,BACI,Compared daily foraging areas of echidnas using BACI design,Tachyglossus aculeatus,Home range,"mean foraging area, minimum convex polygon",mean foraging area,Adults,Autumn,Autumn,Autumn,Autumn,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Based on photo at Fig 1, pg. 2 burn consumed most of the understorey and shrub layer. Crown unaffected.",227 ha,31 days,Not provided,"Post fire adaptations section of results, pg. 4, paraghraph 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11.0 ha,NA,2.9,NA,5,8.7 ha,NA,1.1,NA,5,8.7 ha,NA,2.1,NA,4,8.9 ha,NA,4.9,NA,Does not meet meta analysis crietria due to too few impact replicates
,,5741,4,"Nowack, J; Cooper, CE; Geiser, F",2016,"Cool echidnas survive the fire
",N,,159,10.1098/rspb.2016.0382,Nowack2016,Proceedings of the Royal Society B,2016,Australia," -31.76666667, 117.16666667",Provided by authors,BACI,Compared home range size of echidnas using BACI design,Tachyglossus aculeatus,Home range,"mean home range size, entire minimum convex polygon","mean home range size, entire minimum convex polygon",Adults,Autumn,Autumn,Autumn,Autumn,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Based on photo at Fig 1, pg. 2 burn consumed most of the understorey and shrub layer. Crown unaffected.",227 ha,31 days,Not provided,"Post fire adaptations section of results, pg. 4, paraghraph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,61.2 ha,NA,28.9,NA,5,39.9 ha,NA,17.6,NA,4,55.2 ha,NA,6.7,NA,4,51.0 ha,NA,10.6,NA,Does not meet meta analysis crietria due to too few impact replicates
,,5744,1,"BLANCHARD, BM; KNIGHT, RR",1990,"REACTIONS OF GRIZZLY BEARS, URSUS-ARCTOS-HORRIBILIS, TO WILDFIRE IN YELLOWSTONE-NATIONAL-PARK, WYOMING
",row created by CADIMA,row created by CADIMA,160,,Blanchard1990,Canadian Field Naturalist,1990,United States of America,"44.63076840655535, -110.54289621103719","Estimated by reviewers, coordinates taken from the existing google pin of Yellowstone NP",BA,Compared home range size of female bears before and after fire,Ursus arctos horribilus,Home range,annual home range size,"Annual home range size, minimum convex polygon",Adult female,All seasons,All seasons,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Fast moving, up to 16km/day",562000 ha,1 year,Not provided,"Paragraph 1 of results, pg. 592",5,162 km2,,,,5,191 km2,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO CONTACT AUTHORS - No SEM or simialr given.
,,5744,2,"BLANCHARD, BM; KNIGHT, RR",1990,"REACTIONS OF GRIZZLY BEARS, URSUS-ARCTOS-HORRIBILIS, TO WILDFIRE IN YELLOWSTONE-NATIONAL-PARK, WYOMING
",N,,161,,Blanchard1990,Canadian Field Naturalist,1990,United States of America,"44.63076840655535, -110.54289621103719","Estimated by reviewers, coordinates taken from the existing google pin of Yellowstone NP",BA,Compared mean movement rates of female bears before and after fire in summer,Ursus arctos horribilus,Linear distance,Mean daily movement rate,Mean daily movement rate,Adult female,Summer,Summer,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Fast moving, up to 16km/day",562000 ha,1 year,Not provided,"Paragraph 1 of results, pg. 592",3,1.051 km/day,,,,3,0.590 km/day,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO CONTACT AUTHORS - No SEM or simialr given.
,,5744,3,"BLANCHARD, BM; KNIGHT, RR",1990,"REACTIONS OF GRIZZLY BEARS, URSUS-ARCTOS-HORRIBILIS, TO WILDFIRE IN YELLOWSTONE-NATIONAL-PARK, WYOMING
",N,,162,,Blanchard1990,Canadian Field Naturalist,1990,United States of America,"44.63076840655535, -110.54289621103719","Estimated by reviewers, coordinates taken from the existing google pin of Yellowstone NP",BA,Compared mean movement rates of female bears before and after fire in autumn,Ursus arctos horribilus,Linear distance,Mean daily movement rate,Mean daily movement rate,Adult female,Autumn,Autumn,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Fast moving, up to 16km/day",562000 ha,1 year,Not provided,"Paragraph 1 of results, pg. 592",3,0.606 km/day,,,,3,0.878 km/day,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO CONTACT AUTHORS - No SEM or simialr given.
,,5763,1,"Almeida, Maria Beatriz Alves da Fonseca Samor de","2018
","Roe Deer's Spatio-Temporal Response to Novel Environments
",row created by CADIMA,row created by CADIMA,163,NA,Almeida2018,Masters Thesis,2018,Portugal,"41.076388960906954, -8.081929538601083","Estimated by reviewers, using the map at Fig 3.1, pg. 47, to estimate approximate study area on google maps",BA,Compared home range size of roe deer before and after a wildfire,Capreolus capreolus,Home range,"Home range size, 90% kernel density estimate","Home range size, 90% kernel density estimate",Adult,Not provided,Not provided,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Not provided,Not provided,Not provided,2 months,Not provided,"Data collection and database management section, pg. 48-50",12,,,,,12,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEED TO CONTACT AUTHORS - Means and SEMs not reported, predicted size from model presented. Individuals were considered to be impacted by fire if at least one fix was within 300m of fire perimeter"
,,5769,1,"Michaud, Justin M.","2017
","Habitat use by wintering passerines in fire-managed forests along the U.S. Gulf Coast
",row created by CADIMA,row created by CADIMA,164,NA,Michaud2017,Masters Thesis,2017,United States of America,"30.367448206726927, -87.13484824566343",Provided by authors,CI,Compared home range size of birds in burned and unburned,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,Not provided,Not provided,Not provided,12,Planned,"Multiple planned burns over past 15 years, with some management units burnt mutiple times.",,663 ha,15 years,,"Demographics section of Results, pg. 40 paragraph 1",NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,7,3.22 ha,0.32,NA,NA,11,5.43 ha,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web plot ditigiser used to extract mean and SEMs.
