Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Impact_fire_type,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,class_ncbi
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,Spring,Spring,Spring,Spring,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",90,147,33,32,120,-56,SD,9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",363,430,296,263,314,212,SE,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",412,454,370,307,357,257,SE,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",62,103.11,20.89,3,29.53,-23.53,SD,10,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",123,141,105,73,80,66,SE,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Females,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1, pg. 165, Home range Table 3 pg. 167",114,131,97,78,84,72,SE,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",18.62,38.92,-1.68,6.17,25.47,-13.13,SD,9,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",94.48,100.96,88,65.38,72.55,58.21,SE,9,10,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",95.31,102.21,88.41,72,77.52,66.48,SE,10,9,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,BACI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,Spring,Spring,NA,NA,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",19,60.79,-22.79,5.73,29.15,-17.69,SD,44,44,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
